"line_code","env_code","DTA","DTS","PH","EH","grain_moisture","yield_bu_ac"
"M0352/CG102","MNH1_14",69.9578924894396,70.1964698271669,195.969810863713,92.4639014674465,23.6774802481439,99.3596099836843
"M0354/CG102","MNH1_14",71.4546674699458,73.3759612764775,196.739574225307,93.3754338139315,23.4796304219136,130.872140848615
"M0354/LH198","MNH1_14",76.4087625143799,76.5661206704284,187.266353294789,105.651252617893,25.1624493642043,99.6423863586499
"M0355/CG102","MNH1_14",70.4546674699458,72.3759612764775,203.239574225307,82.8754338139315,22.6796304219136,112.974480648615
"M0360/CG102","MNH1_14",69.9546674699458,71.8759612764775,205.239574225307,102.375433813931,22.4796304219136,134.136379198615
"M0378/CG102","MNH1_14",71.4546674699458,72.8759612764775,216.739574225307,103.875433813931,24.9296304219136,110.643670843615
"MO44_LH145_0047/CG102","MNH1_14",68.0381376819537,70.2053244827006,200.229206546345,76.5512859578528,23.0148709675092,95.3552625252008
"MO44_LH145_0127/CG102","MNH1_14",65.9658464066709,68.3537375959374,178.041483406873,70.8679994782218,23.4920639860618,148.548859353837
"MO44_LH145_0138/CG102","MNH1_14",69.5803046617274,71.12405497329,196.079028034767,82.204656774148,22.2166253823513,133.629038528109
"MO44_PHG47_0072/CG102","MNH1_14",69.6566101650985,71.6375998915251,192.770724453363,78.2624283047655,23.5663329798776,141.467008677625
"MO44_PHG47_0125/CG102","MNH1_14",67.1566101650985,69.1375998915251,167.770724453363,63.7624283047655,23.4663329798776,110.497206027625
"MO44_PHW65_0025/CG102","MNH1_14",71.0381376819537,72.2053244827006,179.229206546345,67.5512859578528,22.5148709675092,142.610816125201
"MO44_PHW65_0035/CG102","MNH1_14",70.5294343261468,71.7816916944666,190.284563755703,74.4994757537364,25.5334869840004,127.794382778433
"MO44_PHW65_0075/CG102","MNH1_14",71.0381376819537,72.2053244827006,189.229206546345,55.5512859578528,22.5148709675092,116.044002925201
"MO44_PHW65_0126/CG102","MNH1_14",70.0381376819537,72.2053244827006,184.229206546345,82.5512859578528,24.3148709675092,143.363986025201
